ticker;score_sector;score_general;score_final;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;payout_ratio;number_code;outlier
PGMN3;0,34426448984627933;0,338929963232244;0,34106377387785813;Healthcare;11,785714;0,71228147;7,6;;6,2379999999999995;0,8702;3;False
ABEV3;0,2891626252100391;0,3713047184326642;0,3384478811436142;Consumer Defensive;11,259663;1,7788463;6,0;-11,4;15,071000000000002;0,8286;3;False
EQTL3;0,3161836479023086;0,35130096726390125;0,33725403951926414;Utilities;11,5847;1,4504652;0,27999999999999997;1,9;12,3509996;0,23809999;3;False
INTB3;0,0;0,561759554661087;0,3370557327966522;Technology;8,165;1,837346;4,1300002000000005;17,599999999999998;21,867001;0,2622;3;False
HAPV3;0,20588745627533167;0,4130365940076913;0,3301769389147475;Financial Services;10,58157;0,39094964;;;-1,0930001;;3;False
CMIN3;0,1817867586700498;0,3948115585429237;0,3096016385937741;Basic Materials;10,877705;3,3515484;15,110000000000001;-62,7;37,966;1,4616001;3;False
VIVT3;0,3438965662115334;0,2678677414404398;0,2982792713488772;Communication Services;12,94039;1,2634517;5,41;14,499999999999998;7,807;0,8145;3;False
CRFB3;0,28626669741518906;0,28626669741518906;0,28626669741518906;Consumer Cyclical;12,641429;0,7897534;1,28;66,7;1,131;;3;False
AGRO3;0,20631588711245463;0,31130189631698635;0,2693074926351737;Consumer Defensive;12,234637;0,9904125;7,13;;13,427;0,5578;3;False
CCRO3;0,20594365121980418;0,30887100947205803;0,2677000661711565;Industrials;12,274136;1,8108951;2,53;-60,699999999999996;9,6870005;0,5693;3;False
MULT3;0,0;0,44122710237401863;0,26473626142441115;Real Estate;10,123508;2,006405;7,16;98,9;21,32;0,43400002;3;False
UGPA3;0,0;0,40383166946506766;0,2422990016790406;Energy;10,731139;1,2990578;3,75;-25,7;19,299999;0,2759;3;False
ZAMP3;0,22856902980123628;0,22856902980123628;0,22856902980123628;Consumer Cyclical;13,578947;0,10525027;;;-6,1490003;;3;False
